epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2912.46,1.96817,1.03294,0.86728,0.79856,0.64814,0.71653,0.29628,1.92268,0.97631,0.89953,0.0012773,0.0012773,0.0012773
75,2951.86,1.97131,1.02634,0.86365,0.78467,0.68353,0.72196,0.31384,1.87483,0.94212,0.89592,0.0012674,0.0012674,0.0012674
76,2991.41,1.92952,1.02415,0.86914,0.7973,0.65307,0.71648,0.3068,1.90653,0.93805,0.90092,0.0012575,0.0012575,0.0012575
77,3031.01,1.97225,1.03703,0.86435,0.82684,0.64639,0.70034,0.29178,1.91618,0.9579,0.91059,0.0012476,0.0012476,0.0012476
78,3070.64,1.94901,1.03853,0.87865,0.77678,0.66413,0.71728,0.29933,1.90262,0.92899,0.90422,0.0012377,0.0012377,0.0012377
79,3110.04,1.94472,0.99383,0.86441,0.80843,0.68188,0.71577,0.30157,1.95148,0.93455,0.90489,0.0012278,0.0012278,0.0012278
80,3149.47,1.92683,1.02691,0.86704,0.73556,0.64512,0.6927,0.29234,1.95005,0.93832,0.90544,0.0012179,0.0012179,0.0012179
81,3188.97,1.94404,1.027,0.86342,0.77042,0.63752,0.68655,0.2924,1.88197,0.96206,0.90821,0.001208,0.001208,0.001208
82,3228.43,1.89318,0.99834,0.86247,0.78812,0.66001,0.7019,0.29809,1.88458,0.95825,0.90937,0.0011981,0.0011981,0.0011981
83,3268.01,1.92636,1.00691,0.86108,0.80297,0.65082,0.72245,0.30199,1.93957,0.94077,0.90273,0.0011882,0.0011882,0.0011882
84,3307.48,1.94359,1.00308,0.86338,0.80017,0.67554,0.72435,0.31553,1.87935,0.89404,0.90218,0.0011783,0.0011783,0.0011783
85,3347.18,1.91902,1.00898,0.86584,0.80373,0.67472,0.74108,0.3086,1.89877,0.94386,0.89746,0.0011684,0.0011684,0.0011684
86,3386.63,1.9349,1.01058,0.86169,0.83889,0.62864,0.72963,0.29719,1.92744,0.93192,0.89373,0.0011585,0.0011585,0.0011585
87,3426.07,1.91485,0.99911,0.86511,0.8046,0.66286,0.71623,0.31114,1.86729,0.92894,0.90222,0.0011486,0.0011486,0.0011486
88,3465.7,1.90286,1.00884,0.86015,0.79323,0.67584,0.73655,0.31151,1.90035,0.92983,0.89795,0.0011387,0.0011387,0.0011387
89,3505.1,1.88171,0.98995,0.86517,0.80355,0.66667,0.73159,0.31975,1.84988,0.90387,0.8941,0.0011288,0.0011288,0.0011288
90,3544.69,1.91144,0.98024,0.86125,0.831,0.64816,0.73241,0.31281,1.85641,0.88266,0.89984,0.0011189,0.0011189,0.0011189
91,3584.35,1.91119,0.98491,0.86141,0.80776,0.66286,0.74055,0.30781,1.91681,0.9671,0.89908,0.001109,0.001109,0.001109
92,3623.75,1.90837,0.98127,0.86388,0.80327,0.6692,0.71609,0.30339,1.92231,0.94553,0.9027,0.0010991,0.0010991,0.0010991
93,3663.14,1.88048,0.97688,0.85609,0.83831,0.66667,0.73868,0.31185,1.89986,0.9361,0.90118,0.0010892,0.0010892,0.0010892
94,3702.67,1.86986,0.9508,0.86125,0.8128,0.67689,0.73585,0.3208,1.87115,0.93896,0.89632,0.0010793,0.0010793,0.0010793
95,3742.37,1.90305,0.96537,0.86479,0.79533,0.65013,0.71122,0.29128,1.92376,0.90243,0.90646,0.0010694,0.0010694,0.0010694
96,3781.79,1.90238,0.98983,0.8558,0.81376,0.65901,0.71464,0.30943,1.88712,0.8932,0.89794,0.0010595,0.0010595,0.0010595
